order_id,order_date,region,category,amount
ORD-000000,2025-04-07,Busan,Beauty,75654
ORD-000001,2025-04-08,Busan,Home,249139
ORD-000002,2025-03-01,Gwangju,Beauty,87888
ORD-000003,2025-01-11,Seoul,Electronics,382935
ORD-000004,2025-04-16,Busan,Beauty,138111
ORD-000005,2025-03-22,Busan,Beauty,160710
ORD-000006,2025-03-26,Busan,Food,213160
ORD-000007,2025-01-10,Daegu,Home,98734135
ORD-000008,2025-01-23,Gwangju,Food,889824
ORD-000011,2025-03-12,Daegu,Food,1083597
ORD-000012,2025-03-24,Seoul,Electronics,212602
ORD-000013,2025-04-20,Incheon,Electronics,479808
ORD-000014,2025-02-12,Seoul,Food,1261925
ORD-000015,2025-01-03,Daegu,Electronics,471644
ORD-000016,2025-02-28,Seoul,Fashion,863950
ORD-000017,2025-03-14,Seoul,Fashion,8985
ORD-000018,2025-02-15,Daegu,Electronics,912398
ORD-000019,2025-01-11,Incheon,Food,1962044
ORD-000020,2025-01-15,Seoul,Food,2343870
ORD-000021,2025-02-17,Daegu,Fashion,2152431
ORD-000022,2025-03-06,Gwangju,Beauty,1728042
ORD-000023,2025-04-13,Gwangju,Home,1608614
ORD-000024,2025-03-31,Busan,Food,920570
ORD-000025,2025-04-27,Daegu,Food,77792
ORD-000026,2025-02-04,Busan,Fashion,1423290
ORD-000027,2025-01-10,Incheon,Fashion,601332
ORD-000028,2025-01-02,Incheon,Electronics,439690
ORD-000029,2025-01-30,Daegu,Fashion,88944
ORD-000030,2025-03-31,Gwangju,Electronics,189285
ORD-000031,2025-02-22,Incheon,Electronics,299400
ORD-000032,2025-01-22,Incheon,Food,567918
ORD-000033,2025-04-16,Busan,Food,1267973
ORD-000034,2025-03-09,Busan,Home,393870
ORD-000035,2025-02-10,Gwangju,Electronics,46197
ORD-000036,2025-03-18,Seoul,Food,796081
ORD-000037,2025-02-25,Incheon,Home,560550
ORD-000038,2025-01-13,Busan,Fashion,875574
ORD-000039,2025-03-14,,Food,552708
ORD-000040,2025-04-08,Incheon,Fashion,560201
ORD-000041,2025-01-22,Incheon,Fashion,987341
ORD-000042,2025-04-06,Daegu,Electronics,643773
ORD-000043,2025-03-18,Busan,Beauty,38699
ORD-000045,2025-04-16,Busan,Food,537552
ORD-000046,2025-01-04,Gwangju,Beauty,565275
ORD-000047,2025-02-26,Incheon,Fashion,496436
ORD-000048,2025-03-01,Busan,Electronics,2535180
ORD-000049,2025-03-09,Incheon,Electronics,265951
ORD-000050,2025-02-19,,Food,545712
ORD-000051,2025-04-30,Gwangju,Fashion,1773331
ORD-000052,2025-04-30,Seoul,Fashion,113956
ORD-000053,2025-02-07,Gwangju,Beauty,1127090
ORD-000054,2025-03-15,,Home,818472
ORD-000055,2025-04-15,Incheon,Fashion,1690146
ORD-000056,2025-02-14,Seoul,Beauty,815096
ORD-000057,2025-04-11,Incheon,Fashion,2052920
ORD-000058,2025-02-13,Busan,Electronics,160499
ORD-000059,2025-04-14,Daegu,Food,611551
ORD-000060,2025-04-01,Busan,Food,1338342
ORD-000061,2025-01-21,Seoul,Beauty,1947265
ORD-000062,2025-04-07,Incheon,Electronics,54378
ORD-000063,2025-01-08,Incheon,Home,404880
ORD-000064,2025-01-17,Daegu,Fashion,2286401
ORD-000065,2025-02-05,Seoul,Food,30610
ORD-000066,2025-04-29,Gwangju,Fashion,760210
ORD-000067,2025-04-16,Seoul,Food,1639337
ORD-000068,2025-03-31,Daegu,Food,420140
ORD-000069,2025-03-18,Incheon,Home,162798
ORD-000070,2025-03-22,Incheon,Food,92283
ORD-000071,2025-02-01,Incheon,Electronics,704508
ORD-000072,2025-03-14,,Home,41870
ORD-000073,2025-04-26,Daegu,Fashion,131703741
ORD-000074,2025-01-11,Busan,Home,2458728
